col1,col2
910,-21.6
911,-23.94
912,-26.04
913,-28.84
914,-25.96
915,-19.76
916,-2.48
917,21.16
918,56.85
919,94.36
920,127.23
921,138.8
922,125.82
923,94.34
924,48.91
925,11.62
926,-15.65
927,-41.08
928,-45.07
929,-49.57
930,-54.51
931,-56.26
932,-62.33
933,-67.8
934,-66.42
935,-61.58
936,-53.62
937,-48.26
938,-40.73
939,-36.66
940,-34.79
941,-34.01
942,-36.91
943,-35.02
944,-28.82
945,-19.64
946,-14.97
947,-20.68
948,-31.21
949,-28.99
950,-18.89
951,-4.4
952,3.24
953,5.62
954,-1.25
955,-0.22
956,2.5
957,3.15
958,2.84
959,-1.95
960,-2.65
961,-6.89
962,-8.0
963,-3.6
964,2.16
965,9.14
966,12.73
967,11.46
968,6.71
969,4.24
970,-1.58
971,-6.83
972,-3.44
973,-2.2
974,6.12
975,11.81
976,10.63
977,5.97
978,1.77
979,-0.21
980,-0.19
981,2.53
982,4.98
983,4.48
984,2.23
985,4.71
986,4.24
987,9.21
988,10.09
989,13.58
990,9.53
991,2.27
992,-4.25
993,-13.73
994,-15.06
995,-13.55
996,-11.3
997,-7.47
998,-4.92
999,0.97
1000,-0.02
1001,-1.82
1002,-2.54
1003,-4.99
1004,-0.89
1005,-1.7
1006,-0.63
1007,-3.27
1008,2.46
1009,1.31
1010,3.88
1011,0.79
1012,-3.78
1013,-6.11
1014,-9.1
1015,-3.69
1016,-3.32
1017,-1.19
1018,-2.87
1019,1.02
1020,5.42
1021,7.58
1022,9.52
1023,2.27
1024,-1.56
1025,-4.1
1026,0.81
1027,1.63
1028,1.46
1029,-0.48
1030,-4.93
1031,-5.34
1032,-3.91
1033,-1.72
1034,1.16
1035,0.14
1036,-0.77
1037,0.2
1038,1.08
1039,4.57
1040,5.02
1041,5.42
1042,3.97
1043,5.38
1044,7.54
1045,12.18
1046,9.17
1047,11.85
1048,8.86
1049,9.78
1050,15.1
1051,16.29
1052,15.56
1053,14.01
1054,13.5
1055,8.55
1056,8.6
1057,3.24
1058,-2.48
1059,-4.94
1060,-8.04
1061,-9.94
1062,-11.64
1063,-12.28
1064,-11.05
1065,-8.15
1066,-9.13
1067,-10.02
1068,-13.52
1069,-13.97
1070,-10.77
1071,-10.59
1072,-8.63
1073,-3.27
1074,-0.24
1075,3.38
1076,0.34
1077,-11.39
1078,-20.15
1079,-23.54
1080,-13.08
1081,4.43
1082,31.88
1083,62.89
1084,97.11
1085,132.39
1086,147.96
1087,143.96
1088,116.06
1089,77.46
1090,35.51
1091,7.66
1092,-16.51
1093,-32.86
1094,-42.17
1095,-53.25
1096,-56.03
1097,-58.52
1098,-57.17
1099,-54.15
1100,-45.14
1101,-41.53
1102,-39.17
1103,-35.26
1104,-29.93
1105,-25.14
1106,-19.02
1107,-18.92
1108,-18.83
1109,-20.55
1110,-14.89
1111,-11.6
1112,-5.94
1113,-4.45
1114,-4.0
1115,-5.4
1116,-3.06
1117,-0.06
1118,1.75
1119,1.57
1120,2.32
1121,-0.61
1122,0.35
1123,5.71
1124,4.24
1125,6.52
1126,4.97
1127,6.27
1128,5.64
1129,3.28
1130,6.55
1131,7.69
1132,9.63
1133,10.46
1134,10.32
1135,10.18
1136,5.57
1137,5.91
1138,0.82
1139,2.54
1140,7.68
1141,8.71
1142,11.44
1143,9.4
1144,5.76
1145,4.28
1146,4.75
1147,4.28
1148,3.85
1149,5.27
1150,6.54
1151,6.79
1152,6.11
1153,3.7
1154,3.33
1155,2.99
1156,2.69
1157,-2.07
1158,-1.87
1159,-5.28
1160,0.65
1161,-3.92
1162,-3.53
1163,-4.97
1164,-5.38
1165,-2.14
1166,-2.82
1167,-0.74
1168,-4.27
1169,-0.24
1170,0.68
1171,1.51
1172,-3.14
1173,-0.12
1174,-0.11
1175,2.6
1176,5.04
1177,4.54
1178,1.38
1179,2.14
1180,3.73
1181,6.06
1182,6.35
1183,5.72
1184,0.64
1185,-2.12
1186,-3.71
1187,-3.34
1188,-1.2
1189,0.72
1190,2.45
1191,4.0
1192,3.6
1193,4.14
1194,2.83
1195,0.74
1196,-1.13
1197,-3.72
1198,-3.35
1199,-1.21
1200,0.71
1201,1.54
1202,3.19
1203,5.57
1204,6.81
1205,7.03
1206,7.23
1207,5.6
1208,4.14
1209,4.63
1210,7.77
1211,11.49
1212,12.14
1213,13.63
1214,11.36
1215,8.43
1216,11.18
1217,12.77
1218,15.99
1219,13.49
1220,11.24
1221,7.42
1222,7.58
1223,8.62
1224,8.66
1225,1.49
1226,-5.86
1227,-10.67
1228,-14.11
1229,-11.79
1230,-9.72
1231,-6.94
1232,-9.85
1233,-12.46
1234,-14.82
1235,-16.04
1236,-11.73
1237,-8.76
1238,-6.98
1239,-3.59
1240,-3.23
1241,-0.2
1242,-1.98
1243,-5.39
1244,-14.75
1245,-18.67
1246,-23.1
1247,-12.69
1248,0.28
1249,26.35
1250,50.71
1251,86.14
1252,121.63
1253,141.86
1254,141.18
1255,118.06
1256,74.75
1257,36.68
1258,7.81
1259,-10.97
1260,-21.57
1261,-30.22
1262,-36.19
1263,-41.57
1264,-50.02
1265,-54.92
1266,-53.92
1267,-53.03
1268,-43.23
1269,-39.81
1270,-34.92
1271,-35.03
1272,-27.93
1273,-25.14
1274,-19.02
1275,-18.02
1276,-18.02
1277,-19.82
1278,-16.93
1279,-12.54
1280,-4.99
1281,-3.59
1282,-2.33
1283,-5.7
1284,-8.73
1285,-4.25
1286,-0.23
1287,2.49
1288,5.84
1289,4.36
1290,3.02
1291,4.52
1292,0.47
1293,0.42
