Index,ECG
1024,-1409
1025,-638
1026,-754
1027,-1039
1028,-1205
1029,-1264
1030,-778
1031,-52
1032,-378
1033,-25
1034,-135
1035,-122
1036,-29
1037,-351
1038,-136
1039,-32
1040,241
1041,37
1042,-327
1043,-114
1044,-13
1045,259
1046,413
1047,192
1048,-8
1049,-277
1050,-339
1051,-125
1052,-23
1053,34
1054,486
1055,257
1056,-39
1057,-215
1058,-193
1059,186
1060,257
1061,412
1062,-169
1063,-63
1064,124
1065,201
1066,181
1067,-17
1068,-15
1069,436
1070,483
1071,794
1072,85
1073,-104
1074,-363
1075,-57
1076,399
1077,359
1078,413
1079,-438
1080,-484
1081,-256
1082,-5
1083,495
1084,175
1085,68
1086,151
1087,46
1088,-49
1089,226
1090,384
1091,525
1092,383
1093,254
1094,409
1095,278
1096,43
1097,297
1098,-3
1099,-272
1100,-605
1101,-545
1102,-31
1103,-279
1104,109
1105,98
1106,358
1107,682
1108,1154
1109,499
1110,89
1111,-55
1112,-585
1113,-437
1114,147
1115,312
1116,371
1117,784
1118,796
1119,446
1120,221
1121,-161
1122,-235
1123,149
1124,314
1125,553
1126,587
1127,799
1128,899
1129,1169
1130,1322
1131,155
1132,1665
1133,1588
1134,1609
1135,909
1136,818
1137,466
1138,779
1139,791
1140,442
1141,668
1142,331
1143,28
1144,-245
1145,-76
1146,-1134
1147,-1111
1148,-82
1149,-198
1150,2
1151,-88
1152,-889
1153,-143
1154,-1557
1155,-952
1156,-316
1157,-195
1158,-265
1159,-869
1160,-602
1161,-92
1162,457
1163,682
1164,884
1165,255
1166,-40
1167,-117
1168,-1953
1169,-1668
1170,-151
1171,2384
1172,5926
1173,9383
1174,12405
1175,14314
1176,13333
1177,1065
1178,6345
1179,157
1180,-1737
1181,-4263
1182,-5277
1183,-5739
1184,-5165
1185,-4469
1186,-4022
1187,-380
1188,-414
1189,-4356
1190,-410
1191,-324
1192,-2376
1193,-2139
1194,-1745
1195,-220
1196,-243
1197,-2367
1198,-240
1199,-225
1200,-1575
1201,-878
1202,-25
1203,-135
1204,238
1205,-55
1206,-14
1207,-396
1208,-356
1209,-231
1210,242
1211,668
1212,691
1213,172
1214,-295
1215,-535
1216,-122
1217,52
1218,1008
1219,997
1220,358
1221,-218
1222,-196
1223,183
1224,705
1225,1175
1226,1057
1227,591
1228,892
1229,803
1230,1083
1231,1334
1232,661
1233,685
1234,256
1235,681
1236,1063
1237,1316
1238,1365
1239,868
1240,781
1241,523
1242,201
1243,271
1244,-116
1245,-465
1246,-958
1247,-1402
1248,-1082
1249,-884
1250,-525
1251,-653
1252,-1038
1253,-1474
1254,-1596
1255,-1797
1256,-1887
1257,-1608
1258,-1358
1259,-1132
1260,-929
1261,-1196
1262,-1166
1263,-78
1264,-612
1265,-46
1266,-414
1267,-643
1268,-489
1269,-80
1270,-72
1271,-828
1272,-475
1273,-68
1274,29
1275,26
1276,-246
1277,-402
1278,-2
1279,-1
1280,-271
1281,-154
1282,-499
1283,-359
1284,217
1285,645
1286,761
1287,595
1288,265
1289,59
1290,-127
1291,-114
1292,-283
1293,105
1294,365
1295,508
1296,7
1297,-353
1298,-678
1299,-52
1300,-18
1301,434
1302,48
1303,612
1304,101
1305,1
1306,-269
1307,-242
1308,412
1309,191
1310,-8
1311,-367
1312,-871
1313,-784
1314,-165
1315,31
1316,388
1317,349
1318,674
1319,877
1320,1059
1321,863
1322,147
1323,-498
1324,-628
1325,-205
1326,175
1327,248
1328,-47
1329,-312
1330,-191
1331,368
1332,601
1333,631
1334,118
1335,-254
1336,-228
1337,334
1338,571
1339,424
1340,22
1341,-251
1342,44
1343,13
1344,477
1345,609
1346,188
1347,35
1348,135
1349,31
1350,118
1351,196
1352,537
1353,123
1354,111
1355,-44
1356,-486
1357,-168
1358,-61
1359,125
1360,293
1361,353
1362,318
1363,286
1364,348
1365,-47
1366,-42
1367,-308
1368,-367
1369,119
1370,377
1371,79
1372,801
1373,631
1374,298
1375,538
1376,484
1377,1156
1378,176
1379,1764
1380,1408
1381,997
1382,627
1383,384
1384,706
1385,275
1386,68
1387,-29
1388,64
1389,-392
1390,-713
1391,-1002
1392,-992
1393,-1162
1394,-1046
1395,-1212
1396,-109
1397,-801
1398,-451
1399,-586
1400,-618
1401,-736
1402,-752
1403,-767
1404,-42
1405,-198
1406,362
1407,685
1408,707
1409,-264
1410,-777
1411,-196
1412,-2034
1413,-147
1414,27
1415,2094
1416,4855
1417,7879
1418,10961
1419,13555
1420,1382
1421,11898
1422,7648
1423,2743
1424,-1401
1425,-4141
1426,-5707
1427,-6036
1428,-5703
1429,-4772
1430,-4205
1431,-4145
1432,-400
1433,-387
1434,-3663
1435,-3477
1436,-3219
1437,-3437
1438,-3363
1439,-2667
1440,-222
1441,-1728
1442,-926
1443,-833
1444,-75
1445,-1215
1446,-1183
1447,-1335
1448,-661
1449,-415
1450,166
1451,-3
1452,333
1453,209
1454,548
1455,224
1456,471
1457,244
1458,-14
1459,-216
1460,-285
1461,-436
1462,147
1463,43
1464,398
1465,359
1466,503
1467,542
1468,848
1469,943
1470,1119
1471,1547
1472,1032
1473,1109
1474,458
1475,232
1476,659
1477,593
1478,984
1479,1246
1480,1301
1481,1441
1482,1387
1483,978
1484,79
1485,351
1486,316
1487,-165
1488,-59
1489,-53
1490,-498
1491,-358
1492,-682
1493,-1244
1494,-112
1495,-1188
1496,-1429
1497,-1556
1498,-185
1499,-2115
1500,-2084
1501,-2055
1502,-149
1503,-1161
1504,-955
1505,-949
1506,-1304
1507,-1264
1508,-868
1509,-871
1510,-604
1511,-993
1512,-624
1513,-472
1514,-334
1515,-391
1516,-262
1517,-146
1518,49
1519,-496
1520,-446
1521,-672
1522,-155
1523,-49
1524,226
1525,-67
1526,-24
1527,-306
1528,-365
1529,-689
1530,-53
1531,-387
1532,192
1533,262
1534,506
1535,186
1536,-103
1537,177
1538,7
1539,-117
1540,254
1541,229
1542,386
1543,347
1544,493
1545,263
1546,237
1547,-237
1548,-213
1549,-552
1550,-676
1551,-249
1552,-314
1553,167
1554,241
1555,487
1556,438
1557,-416
1558,-14
1559,-103
1560,537
1561,664
1562,507
1563,187
1564,-12
1565,-101
1566,89
1567,-10
1568,-18
1569,-432
1570,-389
1571,-17
1572,-63
1573,-56
1574,39
1575,125
1576,473
1577,785
1578,707
1579,186
1580,-372
1581,-245
1582,139
1583,845
1584,851
1585,406
1586,-175
1587,-517
1588,-466
1589,-59
1590,37
1591,33
1592,-15
1593,45
1594,-14
1595,-126
1596,-113
1597,78
1598,-2
1599,252
1600,47
1601,42
1602,-412
1603,-101
1604,-1
1605,539
1606,1566
1607,1589
1608,197
1609,1683
1610,975
1611,967
1612,511
1613,37
1614,423
1615,56
1616,414
1617,103
1618,-357
1619,-952
1620,-1127
1621,-654
1622,-1128
1623,-1106
1624,-635
1625,-1202
1626,-361
1627,-415
1628,-644
1629,-489
1630,-89
1631,-621
1632,-109
1633,172
1634,335
1635,-149
1636,-494
1637,-535
1638,-661
1639,-325
1640,-563
1641,-1316
1642,-2175
1643,-2767
1644,-231
1645,-279
1646,2719
1647,6407
1648,9906
1649,13055
1650,1508
1651,15102
1652,12962
1653,8516
1654,3524
1655,-698
1656,-4139
1657,-6335
1658,-7051
1659,-7336
1660,-6783
1661,-5564
1662,-5008
1663,-4417
1664,-4065
1665,-3389
1666,-350
1667,-324
1668,-3006
1669,-3245
1670,-2831
1671,-2548
1672,-2113
1673,-1632
1674,-838
1675,-575
1676,-427
1677,-1014
1678,-1093
1679,-804
1680,-723
1681,-381
1682,-343
1683,-489
1684,10
1685,36
1686,414
1687,373
1688,336
1689,392
1690,533
1691,659
1692,1134
1693,111
1694,909
1695,278
1696,-11
1697,-99
1698,721
1699,1099
1700,1079
1701,341
1702,-143
1703,51
1704,856
1705,1761
1706,2215
1707,1903
1708,1263
1709,687
1710,528
1711,295
1712,806
1713,725
1714,1373
1715,1685
1716,1427
1717,744
1718,-14
1719,-846
1720,-852
1721,-856
1722,-321
1723,-289
1724,-8
1725,-612
1726,-1361
1727,-1675
1728,-1687
1729,-1248
1730,-1394
1731,-1434
1732,-1651
1733,-1486
1734,-1067
1735,-51
1736,-549
1737,-944
1738,-85
1739,-945
1740,-941
1741,-306
1742,-186
1743,-167
1744,-331
1745,-297
1746,-628
1747,-205
1748,-184
1749,-76
1750,-68
1751,208
1752,278
1753,-11
1754,-369
1755,-512
1756,-1001
1757,-361
1758,35
1759,482
1760,614
1761,732
1762,299
1763,-1
1764,-541
1765,-577
1766,-339
1767,145
1768,103
1769,927
1770,655
1771,49
1772,-676
1773,-518
1774,-196
1775,183
1776,885
1777,976
1778,339
1779,305
1780,-86
1781,-77
1782,471
1783,514
1784,-78
1785,-16
1786,-594
1787,-355
1788,221
1789,739
1790,1115
1791,1093
1792,624
1793,112
1794,-169
1795,297
1796,268
1797,241
1798,397
1799,-183
1800,195
1801,446
1802,1121
1803,1279
1804,1061
1805,865
1806,-31
1807,152
1808,47
1809,-48
1810,137
1811,213
1812,462
1813,776
1814,788
1815,709
1816,-82
1817,-344
1818,-489
1819,1
1820,549
1821,854
1822,1129
1823,1106
1824,905
1825,545
1826,94
1827,1116
1828,1365
1829,1408
1830,1267
1831,691
1832,621
1833,649
1834,764
1835,778
1836,97
1837,603
1838,363
1839,-123
1840,-291
1841,-532
1842,-749
1843,-764
1844,-508
1845,-367
1846,-33
1847,-567
1848,-42
1849,-828
1850,-926
1851,-923
1852,-1011
1853,8
1854,522
1855,101
1856,9
1857,-802
1858,-1172
1859,-1144
1860,-4
1861,234
1862,-419
1863,-917
1864,-1276
1865,-698
1866,452
1867,2387
1868,5028
1869,8125
1870,11723
1871,1433
1872,14337
1873,11554
1874,6978
1875,196
1876,-1476
1877,-4028
1878,-5155
1879,-563
1880,-5247
1881,-4992
1882,-4493
1883,-4404
1884,-4053
1885,-3468
1886,-3031
1887,-2818
1888,-2806
1889,-2706
1890,-2525
1891,-2093
1892,-1973
1893,-1956
1894,-158
1895,-1152
1896,-857
1897,-951
1898,-1036
1899,-933
1900,-119
1901,523
1902,74
1903,756
1904,231
1905,-152
1906,43
1907,219
1908,287
1909,168
1910,-299
1911,-179
1912,289
1913,26
1914,504
1915,634
1916,39
1917,711
1918,55
1919,765
1920,509
1921,818
1922,826
1923,1103
1924,993
1925,1164
1926,867
1927,1141
1928,1117
1929,1455
1930,1399
1931,989
1932,531
1933,387
1934,259
1935,773
1936,876
1937,428
1938,205
1939,-175
1940,-608
1941,-817
1942,-735
1943,-482
1944,-74
1945,-156
1946,-861
1947,-1315
1948,-1813
1949,-1902
1950,-1712
1951,-154
1952,-1656
1953,-1581
1954,-1693
1955,-1793
1956,-1704
1957,-1174
1958,-696
1959,-717
1960,-735
1961,-1021
1962,-739
1963,-485
1964,-347
1965,-312
1966,-821
1967,-649
1968,-854
1969,-499
1970,-359
1971,-143
1972,-309
1973,-98
1974,-178
1975,47
1976,783
1977,525
1978,112
1979,11
1980,28
1981,-18
1982,-196
1983,-897
1984,-897
1985,-447
1986,47
1987,493
1988,533
1989,3
1990,-153
1991,-408
1992,-547
1993,-492
1994,-263
1995,-237
1996,237
1997,213
1998,642
1999,578
2000,-2
2001,-108
2002,-367
2003,-33
2004,-207
2005,-7
2006,-96
2007,-176
2008,-69
2009,-512
2010,-731
2011,-28
2012,-295
2013,365
2014,58
2015,-488
2016,-349
2017,-224
2018,158
2019,413
2020,371
2021,-116
2022,76
2023,68
2024,61
2025,55
2026,14
2027,-234
2028,149
2029,-46
2030,-491
2031,-532
2032,-209
2033,-8
2034,353
2035,498
2036,-182
2037,-614
2038,-463
2039,-236
2040,417
2041,466
2042,509
2043,-82
2044,-254
2045,-228
2046,-115
2047,-14
2048,77
2049,-2
2050,-198
2051,-178
2052,199
2053,539
2054,1026
2055,1193
2056,984
2057,1065
2058,959
2059,1043
2060,759
2061,593
2062,173
2063,606
2064,456
2065,59
2066,621
2067,109
2068,98
2069,-632
2070,-1019
2071,-1367
2072,-132
2073,-918
2074,-826
2075,-924
2076,-1101
2077,-1081
2078,-793
2079,-1164
2080,-1227
2081,-1285
2082,-886
2083,-438
2084,-34
2085,-21
2086,-909
2087,-458
2088,-953
2089,-497
2090,-358
2091,-592
2092,-623
2093,-74
2094,-126
2095,966
2096,312
2097,5868
2098,9061
2099,12565
2100,14008
2101,12968
2102,9511
2103,451
2104,-351
2105,-4006
2106,-5676
2107,-6098
2108,-5488
2109,-4489
2110,-431
2111,-4149
2112,-4274
2113,-3847
2114,-3732
2115,-3809
2116,-3608
2117,-3427
2118,-2725
2119,-2182
2120,-1784
2121,-1426
2122,-1283
2123,-1425
2124,-1642
2125,-1748
2126,-1663
2127,-1227
2128,-564
2129,-598
2130,-448
2131,-223
2132,-201
2133,179
2134,71
2135,-26
2136,-383
2137,375
2138,338
2139,304
2140,543
2141,39
2142,575
2143,608
2144,727
2145,24
2146,22
2147,20
2148,54
2149,846
2150,1121
2151,829
2152,566
2153,239
2154,486
2155,617
2156,915
2157,824
2158,831
2159,838
2160,934
2161,1201
2162,1081
2163,793
2164,624
2165,471
2166,244
2167,4
2168,-144
2169,-31
2170,-459
2171,-683
2172,-615
2173,-823
2174,-1011
2175,-154
2176,-1836
2177,-2282
2178,-2234
2179,-1831
2180,-1288
2181,-1159
2182,-683
2183,-975
2184,-1237
2185,-1473
2186,-1236
2187,-932
2188,-749
2189,-314
2190,-553
2191,-228
2192,-655
2193,-1039
2194,-1115
2195,-824
2196,-291
2197,638
2198,934
2199,571
2200,-117
2201,-825
2202,-922
2203,-65
2204,-225
2205,157
2206,322
2207,379
2208,-108
2209,-98
2210,-268
2211,119
2212,287
2213,258
2214,-37
2215,-34
2216,-3
2217,-27
2218,65
2219,-31
2220,62
2221,146
2222,311
2223,28
2224,72
2225,425
2226,472
2227,515
2228,104
2229,3
2230,-87
2231,192
2232,622
2233,56
2234,504
2235,94
2236,174
2237,-203
2238,-93
2239,-353
2240,-48
2241,-223
2242,339
2243,305
2244,95
2245,-365
2246,-688
2247,-8
2248,198
2249,809
2250,638
2251,124
2252,-68
2253,118
2254,557
2255,681
2256,703
2257,3
2258,92
2259,263
2260,57
2261,51
2262,-134
2263,59
2264,323
2265,561
2266,685
2267,256
2268,51
2269,-44
2270,-40
2271,0
2272,-9
2273,99
2274,269
2275,332
2276,569
2277,962
2278,956
2279,131
2280,1089
2281,80
2282,126
2283,864
2284,1138
2285,1114
2286,913
2287,641
2288,397
2289,-92
2290,-173
2291,-246
2292,-491
2293,-532
2294,-1019
2295,-1367
2296,-141
2297,-1359
2298,-593
2299,-354
2300,-139
2301,-485
2302,-886
2303,-708
2304,-727
2305,-204
2306,-454
2307,-138
2308,-215
2309,-463
2310,-57
2311,-591
2312,-712
2313,-1181
2314,-1693
2315,-1703
2316,-723
2317,699
2318,2969
2319,5732
2320,8939
2321,12455
2322,1499
2323,15111
2324,1252
2325,8478
2326,358
2327,-828
2328,-4165
2329,-6539
2330,-7595
2331,-6925
2332,-5873
2333,-5016
2334,-4424
2335,-4522
2336,-4249
2337,-4004
2338,-3604
2339,-2614
2340,-2352
2341,-1937
2342,-1833
2343,-228
2344,-2142
2345,-2108
2346,-1537
2347,-1113
2348,-822
2349,-56
2350,-1044
2351,-1029
2352,-836
2353,-573
2354,-66
2355,391
2356,442
2357,398
2358,538
2359,304
2360,-176
2361,111
2362,37
2363,963
2364,1227
2365,1194
2366,625
2367,112
2368,191
2369,-98
2370,722
2371,101
2372,1269
2373,962
2374,1046
2375,311
2376,28
2377,972
2378,1235
2379,1651
2380,1576
2381,879
2382,521
2383,109
2384,728
2385,925
2386,1102
2387,1082
2388,704
2389,634
2390,39
2391,261
2392,-35
2393,-301
2394,-721
2395,-1009
2396,-1628
2397,-1285
2398,-1157
2399,-1221
2400,-919
